"COD_ORGANICO";"ORGANICO";"COD_FUNCIONAL";"FUNCIONAL";"COD_ECONOMICO";"ECONOMICO";"COD_CAPITULO";"CAPITULO";"COD_ARTICULO";"ARTICULO";"COD_CONCEPTO";"CONCEPTO";"COD_PARTIDA";"PARTIDA";"CREDITO_PRESUPUESTARIO"
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"10000";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"100";"Retrib. básicas y otras remuneraciones org. gobier";"101/91200/10000";"Retribuciones básicas. Organos de Gobierno";210000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"10001";"Otras remuneraciones.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"100";"Retrib. básicas y otras remuneraciones org. gobier";"101/91200/10001";"Otras remuneraciones. Organos de Gobierno";547000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"11000";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"11";"Personal eventual.";"110";"Retribuciones básicas y otras remuneraciones de pe";"101/91200/11000";"Retribuciones básicas. Organos de Gobierno";81000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"11001";"Retribuciones complementarias.";"1";"GASTOS DE PERSONAL.";"11";"Personal eventual.";"110";"Retribuciones básicas y otras remuneraciones de pe";"101/91200/11001";"Retribuciones complementarias. Organos de Gobierno";172000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"101/91200/12000";"Retribuciones básicas funcionarios. Organos de Gobierno";74000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"101/91200/12100";"Complemento de destino. Organos de Gobierno";31000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"101/91200/12101";"Complemento específico. Organos de Gobierno";95000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"101/91200/12103";"Otros complementos. Organos de Gobierno";1000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"101/91200/16000";"Seguridad Social. Organos de Gobierno";326000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"16200";"Formación y perfeccionamiento del personal.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"162";"Gastos sociales del personal.";"101/91200/16200";"Formación y perfeccionamiento del personal. Organos de Gobierno";9000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"16205";"Seguros.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"162";"Gastos sociales del personal.";"101/91200/16205";"Seguros. Organos de Gobierno";4000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"20400";"Material de transporte";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"20";"Arrendamientos y cánones.";"204";"Material de transporte.";"101/91200/20400";"Material de transporte. Organos de Gobierno";19000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"21400";"Elementos de transporte";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"21";"Reparaciones, mantenimiento y conservación.";"214";"Elementos de transporte.";"101/91200/21400";"Elementos de transporte. Organos de Gobierno";700
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"101/91200/22000";"Ordinario no inventariable. Organos de Gobierno";5000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"22103";"Combustibles y carburantes.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"221";"Suministros.";"101/91200/22103";"Combustibles y carburantes. Organos de Gobierno";10800
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"22601";"Atenciones protocolarias y representativas.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"101/91200/22601";"Atenciones protocolarias y representativas. Organos de Gobierno";95000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"22699";"Otros gastos diversos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"101/91200/22699";"Otros gastos diversos. Organos de Gobierno";12400
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23000";"De los miembros de los órganos de gobierno.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"230";"Dietas.";"101/91200/23000";"De los miembros de los órganos de gobierno. Organos de Gobierno";4200
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23010";"Del personal directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"230";"Dietas.";"101/91200/23010";"Del personal directivo. Organos de Gobierno";2500
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23020";"Del personal no directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"230";"Dietas.";"101/91200/23020";"Del personal no directivo. Organos de Gobierno";2900
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23100";"De los miembros de los órganos de gobierno.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"231";"Locomoción.";"101/91200/23100";"De los miembros de los órganos de gobierno. Organos de Gobierno";12100
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23110";"Del personal directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"231";"Locomoción.";"101/91200/23110";"Del personal directivo. Organos de Gobierno";3000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23120";"Del personal no directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"231";"Locomoción.";"101/91200/23120";"Del personal no directivo. Organos de Gobierno";800
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"23300";"Otras indemnizaciones a órganos de gobierno";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"233";"Otras indemnizaciones.";"101/91200/23300";"Otras indemnizaciones a órganos de gobierno. Organos de Gobierno";130000
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"48009";"Grupos políticos de la Corporación.";"4";"TRANSFERENCIAS CORRIENTES.";"48";"A Familias e Instituciones sin fines de lucro.";"480";"Transfs. a familias e institucs. sin fines de lucr";"101/91200/48009";"Grupos políticos de la Corporación. Organos de Gobierno";729900
"101";"GABINETE DE ALCALDIA";"91200";"Organos de Gobierno";"48011";"Órganos e instituciones con participación mpal";"4";"TRANSFERENCIAS CORRIENTES.";"48";"A Familias e Instituciones sin fines de lucro.";"480";"Transfs. a familias e institucs. sin fines de lucr";"101/91200/48011";"Órganos e instituciones con participación mpal. Organos de Gobierno";204000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"10100";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"102/92002/10100";"Retribuciones básicas. Secretaría General";37000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"10101";"Otras remuneraciones.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"102/92002/10101";"Otras remuneraciones. Secretaría General";93000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"102/92002/12000";"Retribuciones básicas funcionarios. Secretaría General";70000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"102/92002/12100";"Complemento de destino. Secretaría General";34000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"102/92002/12101";"Complemento específico. Secretaría General";81000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"102/92002/12103";"Otros complementos. Secretaría General";1000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"102/92002/16000";"Seguridad Social. Secretaría General";85000
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"102/92002/22000";"Ordinario no inventariable. Secretaría General";5400
"102";"SECRETARIAS ORGANOS DE GOBIERNO";"92002";"Secretaría General";"22705";"Procesos electorales.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"227";"Trabajos realizados por otras empresas y profesion";"102/92002/22705";"Procesos electorales. Secretaría General";100
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"10100";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"103/93101/10100";"Retribuciones básicas. Control y Fiscalización Interna";39000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"10101";"Otras remuneraciones.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"103/93101/10101";"Otras remuneraciones. Control y Fiscalización Interna";93000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"103/93101/12000";"Retribuciones básicas funcionarios. Control y Fiscalización Interna";57000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"103/93101/12100";"Complemento de destino. Control y Fiscalización Interna";26000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"103/93101/12101";"Complemento específico. Control y Fiscalización Interna";51000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"103/93101/12103";"Otros complementos. Control y Fiscalización Interna";1000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"103/93101/16000";"Seguridad Social. Control y Fiscalización Interna";67000
"103";"INTERVENCION GENERAL";"93101";"Control y Fiscalización Interna";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"103/93101/22000";"Ordinario no inventariable. Control y Fiscalización Interna";600
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"10100";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"104/92003/10100";"Retribuciones básicas. Asesoría Jurídica";21000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"10101";"Otras remuneraciones.";"1";"GASTOS DE PERSONAL.";"10";"Órganos de gobierno y personal directivo.";"101";"Retrib. básicas y otras remunerac. personal direct";"104/92003/10101";"Otras remuneraciones. Asesoría Jurídica";39000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"104/92003/12000";"Retribuciones básicas funcionarios. Asesoría Jurídica";137000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"104/92003/12100";"Complemento de destino. Asesoría Jurídica";70000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"104/92003/12101";"Complemento específico. Asesoría Jurídica";176000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"104/92003/12103";"Otros complementos. Asesoría Jurídica";1000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"104/92003/16000";"Seguridad Social. Asesoría Jurídica";115000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"104/92003/22000";"Ordinario no inventariable. Asesoría Jurídica";1700
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"22604";"Jurídicos, contenciosos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"104/92003/22604";"Jurídicos, contenciosos. Asesoría Jurídica";240000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"22610";"Indemnizaciones a terceros";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"104/92003/22610";"Indemnizaciones a terceros. Asesoría Jurídica";185000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"22611";"Asistencia jurídica";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"226";"Gastos diversos.";"104/92003/22611";"Asistencia jurídica. Asesoría Jurídica";35000
"104";"ASESORIA JURIDICA";"92003";"Asesoría Jurídica";"22706";"Estudios y trabajos técnicos.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"227";"Trabajos realizados por otras empresas y profesion";"104/92003/22706";"Estudios y trabajos técnicos. Asesoría Jurídica";6000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"105/93102/12000";"Retribuciones básicas funcionarios. Tribunal Económico Administrativo";32000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"105/93102/12100";"Complemento de destino. Tribunal Económico Administrativo";15000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"105/93102/12101";"Complemento específico. Tribunal Económico Administrativo";41000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"105/93102/12103";"Otros complementos. Tribunal Económico Administrativo";1000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"105/93102/16000";"Seguridad Social. Tribunal Económico Administrativo";22000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"22000";"Ordinario no inventariable.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"22";"Material, suministros y otros.";"220";"Material de oficina.";"105/93102/22000";"Ordinario no inventariable. Tribunal Económico Administrativo";400
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"23020";"Del personal no directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"230";"Dietas.";"105/93102/23020";"Del personal no directivo. Tribunal Económico Administrativo";40000
"105";"TRIBUNAL ECONOMICO-ADMINISTRATIVA";"93102";"Tribunal Económico Administrativo";"23120";"Del personal no directivo.";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"23";"Indemnizaciones por razón del servicio.";"231";"Locomoción.";"105/93102/23120";"Del personal no directivo. Tribunal Económico Administrativo";1000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"12000";"Retribuciones básicas funcionarios";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"120";"Retribuciones básicas.";"106/23200/12000";"Retribuciones básicas funcionarios. Políticas de Igualdad";21000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"12100";"Complemento de destino.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"106/23200/12100";"Complemento de destino. Políticas de Igualdad";9000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"12101";"Complemento específico.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"106/23200/12101";"Complemento específico. Políticas de Igualdad";23000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"12103";"Otros complementos.";"1";"GASTOS DE PERSONAL.";"12";"Personal Funcionario.";"121";"Retribuciones complementarias.";"106/23200/12103";"Otros complementos. Políticas de Igualdad";1000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"13000";"Retribuciones básicas.";"1";"GASTOS DE PERSONAL.";"13";"Personal Laboral.";"130";"Laboral Fijo.";"106/23200/13000";"Retribuciones básicas. Políticas de Igualdad";55000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"13002";"Otras remuneraciones.";"1";"GASTOS DE PERSONAL.";"13";"Personal Laboral.";"130";"Laboral Fijo.";"106/23200/13002";"Otras remuneraciones. Políticas de Igualdad";80000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"13100";"Retribuciones básicas y otras remuneraciones";"1";"GASTOS DE PERSONAL.";"13";"Personal Laboral.";"131";"Laboral temporal.";"106/23200/13100";"Retribuciones básicas y otras remuneraciones. Políticas de Igualdad";52000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"16000";"Seguridad Social.";"1";"GASTOS DE PERSONAL.";"16";"Cuotas, prestaciones y gastos sociales a cargo del";"160";"Cuotas sociales.";"106/23200/16000";"Seguridad Social. Políticas de Igualdad";77000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"20300";"Maquinaria, instalaciones y utillaje";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"20";"Arrendamientos y cánones.";"203";"Maquinaria, instalaciones y utillaje";"106/23200/20300";"Maquinaria, instalaciones y utillaje. Políticas de Igualdad";8000
"106";"IGUALDAD";"23200";"Políticas de Igualdad";"20600";"Equipos para procesos de información";"2";"GASTOS CORRIENTES EN BIENES Y SERVICIOS.";"20";"Arrendamientos y cánones.";"206";"Equipos para procesos de información";"106/23200/20600";"Equipos para procesos de información. Políticas de Igualdad";5000
